title,outlines,director,grade
웅남이,"코미디,액션",박성광,관람객 평점 7.43점
스즈메의 문단속,애니메이션,신카이 마코토,관람객 평점 8.16점
파벨만스,드라마,스티븐 스필버그,관람객 평점 8.86점
소울메이트,드라마,민용근,관람객 평점 8.04점
더 퍼스트 슬램덩크,애니메이션,이노우에 다케히코,관람객 평점 9.28점
던전 앤 드래곤: 도적들의 명예,"액션,모험,판타지",조나단 골드스타인,관람객 평점 8.56점
에브리씽 에브리웨어 올 앳 원스+,"액션,코미디",다니엘 콴,관람객 평점 8.92점
"귀멸의 칼날: 상현집결, 그리고 도공 마을로",애니메이션,소토자키 하루오,관람객 평점 6.64점
샤잠! 신들의 분노,"액션,모험",데이비드 F. 샌드버그,관람객 평점 6.90점
아임 히어로 더 파이널,"다큐멘터리,공연실황",오윤동,관람객 평점 9.87점
대외비,"범죄,드라마",이원태,관람객 평점 6.17점
모나리자와 블러드 문,"판타지,미스터리,스릴러",애나 릴리 아미푸르,관람객 평점 7.13점
TAR 타르,드라마,토드 필드,관람객 평점 7.81점
플레인,"액션,스릴러",장-프랑소와 리셰,관람객 평점 7.72점
리바운드,드라마,장항준,평점 - 총 10점 중
포커페이스,"스릴러,범죄",러셀 크로우,관람객 평점 6.67점
옥수역귀신,"공포,미스터리",정용기,평점 - 총 10점 중
존 윅 4,액션,채드 스타헬스키,평점 - 총 10점 중
오토라는 남자,"코미디,드라마",마크 포스터,관람객 평점 8.31점
드림,"코미디,드라마",이병헌,평점 - 총 10점 중
